MC,NC,KC,GFLOPS
288,288,688,1537.19
288,288,704,1164.12
288,288,720,1552.19
288,288,736,1582.15
288,288,752,1063.28
288,288,768,1541.37
288,288,784,1532.81
288,288,800,1054.77
288,288,816,1545.23
288,288,832,1509.25
288,288,848,1124.95
288,288,864,1555.8
288,288,880,1562.65
288,288,896,1286.71
288,288,912,1518.05
288,288,928,1538.67
288,288,944,1259.19
288,288,960,1542.77
288,288,976,1216.34
288,288,992,1210.2
288,288,1008,1516.0
320,320,16,1015.47
320,320,32,1017.69
320,320,48,1345.77
320,320,64,1382.21
320,320,80,1130.38
320,320,96,1372.46
320,320,112,1074.36
320,320,128,1048.17
320,320,144,1413.74
320,320,160,1205.35
320,320,176,1270.92
320,320,192,952.444
320,320,208,1454.55
320,320,224,1434.96
320,320,240,1064.61
320,320,256,1443.81
320,320,272,1205.13
320,320,288,1175.66
320,320,304,1451.71
320,320,320,1466.81
320,320,336,1300.54
320,320,352,1457.03
320,320,368,1408.63
320,320,384,1069.34
320,320,400,1448.39
320,320,416,1067.75
320,320,432,1104.74
320,320,448,1455.85
320,320,464,1101.76
320,320,480,1201.49
320,320,496,1085.25
320,320,512,1473.76
320,320,528,1465.8
320,320,544,1026.16
320,320,560,1455.23
320,320,576,1450.53
320,320,592,1104.29
320,320,608,1457.5
320,320,624,1441.97
320,320,640,1096.1
320,320,656,1460.11
320,320,672,1453.67
320,320,688,1016.71
320,320,704,1455.08
320,320,720,1450.51
320,320,736,1070.09
320,320,752,1448.5
320,320,768,1434.89
320,320,784,1035.72
320,320,800,1454.01
320,320,816,1120.51
320,320,832,1039.7
320,320,848,1427.6
320,320,864,1069.76
320,320,880,1316.05
320,320,896,1369.06
320,320,912,1107.96
320,320,928,1436.06
320,320,944,1052.03
320,320,960,1409.62
320,320,976,1410.35
320,320,992,1161.76
320,320,1008,1435.38
352,352,16,994.937
352,352,32,1004.85
352,352,48,1252.2
352,352,64,1278.43
352,352,80,1057.23
352,352,96,1438.41
352,352,112,1393.09
352,352,128,1165.16
352,352,144,1497.37
352,352,160,1453.01
352,352,176,1220.81
352,352,192,1469.75
352,352,208,1339.67
352,352,224,1127.86
352,352,240,1536.43
352,352,256,1097.05
352,352,272,1115.19
352,352,288,1188.05
352,352,304,1522.11
352,352,320,1522.92
352,352,336,1061.12
352,352,352,1467.76
352,352,368,1360.81
352,352,384,1104.15
352,352,400,1519.32
352,352,416,1120.69
352,352,432,1144.42
352,352,448,1523.09
352,352,464,1141.69
352,352,480,1106.58
352,352,496,1534.28
352,352,512,1486.05
352,352,528,1297.78
352,352,544,1203.82
352,352,560,1508.29
352,352,576,1526.54
352,352,592,936.438
352,352,608,1504.37
352,352,624,1438.81
352,352,640,1275.0
352,352,656,1513.93
352,352,672,1225.17
352,352,688,1091.34
352,352,704,1349.74
352,352,720,1484.08
352,352,736,1291.17
352,352,752,1484.73
352,352,768,1501.14
352,352,784,1131.81
352,352,800,1494.61
352,352,816,1159.57
352,352,832,1163.53
352,352,848,1491.53
352,352,864,1455.21
352,352,880,1128.46
352,352,896,1492.27
352,352,912,1210.49
352,352,928,1306.23
352,352,944,1409.25
352,352,960,1140.55
352,352,976,1162.72
352,352,992,1189.77
352,352,1008,1371.36
384,384,16,996.938
384,384,32,1213.51
384,384,48,1325.21
384,384,64,1318.98
384,384,80,1147.23
384,384,96,1364.18
384,384,112,1412.23
384,384,128,1011.86
384,384,144,1494.4
384,384,160,1424.99
384,384,176,1082.35
384,384,192,1512.51
384,384,208,1507.65
384,384,224,1108.16
384,384,240,1512.06
384,384,256,1182.98
384,384,272,1212.92
384,384,288,1507.2
384,384,304,1325.56
384,384,320,1503.59
384,384,336,1234.8
384,384,352,1421.94
384,384,368,1491.41
384,384,384,1077.82
384,384,400,1442.72
384,384,416,1313.94
384,384,432,1067.84
384,384,448,1356.16
384,384,464,1374.55
384,384,480,1112.08
384,384,496,1343.0
384,384,512,1418.98
384,384,528,1163.75
384,384,544,1454.24
384,384,560,1127.08
384,384,576,1332.89
384,384,592,1423.4
384,384,608,1051.55
384,384,624,1426.85
384,384,640,1228.41
384,384,656,1510.03
384,384,672,1511.91
384,384,688,1089.67
384,384,704,1505.15
384,384,720,1423.59
384,384,736,1126.76
384,384,752,1511.84
384,384,768,1357.56
384,384,784,1266.21
384,384,800,1519.8
384,384,816,1475.59
384,384,832,1073.68
384,384,848,1489.22
384,384,864,1390.86
384,384,880,1320.14
384,384,896,1421.38
384,384,912,1469.48
384,384,928,1194.11
384,384,944,1423.19
384,384,960,1426.28
384,384,976,1177.16
384,384,992,1115.6
384,384,1008,1234.49
416,416,16,901.572
416,416,32,1160.65
416,416,48,1098.33
416,416,64,1165.93
416,416,80,1068.57
416,416,96,1260.88
416,416,112,1282.07
416,416,128,1124.05
416,416,144,1282.55
416,416,160,1185.65
416,416,176,1170.94
416,416,192,1302.82
416,416,208,1266.64
416,416,224,1157.18
416,416,240,1324.55
416,416,256,1315.82
416,416,272,1344.81
416,416,288,1311.66
416,416,304,1293.52
416,416,320,1091.37
416,416,336,1323.23
416,416,352,1296.71
416,416,368,1173.74
416,416,384,1321.81
416,416,400,1052.94
416,416,416,1130.94
416,416,432,1313.95
416,416,448,1050.63
416,416,464,1177.17
416,416,480,1282.55
416,416,496,1301.24
416,416,512,1076.39
416,416,528,1304.18
416,416,544,1293.3
416,416,560,1317.94
416,416,576,1114.83
416,416,592,1313.47
416,416,608,1312.46
416,416,624,1058.7
416,416,640,1305.59
416,416,656,1296.93
416,416,672,1114.56
416,416,688,1333.43
416,416,704,1267.57
416,416,720,1061.25
416,416,736,1291.57
416,416,752,1072.16
416,416,768,1062.93
416,416,784,1315.99
416,416,800,1325.92
416,416,816,1302.18
416,416,832,1310.67
416,416,848,1133.44
416,416,864,1305.88
416,416,880,1015.17
416,416,896,1286.87
416,416,912,1269.56
416,416,928,982.49
416,416,944,1246.44
416,416,960,1171.99
416,416,976,1050.06
416,416,992,1323.79
416,416,1008,1290.03
448,448,16,950.736
448,448,32,1063.94
448,448,48,1029.14
448,448,64,1057.12
448,448,80,1217.22
448,448,96,1026.09
448,448,112,1245.51
448,448,128,1022.26
448,448,144,1311.65
448,448,160,1199.05
448,448,176,1102.46
448,448,192,1235.16
448,448,208,1116.85
448,448,224,1085.95
448,448,240,1216.31
448,448,256,1226.79
448,448,272,1117.88
448,448,288,1338.21
448,448,304,1222.67
448,448,320,1085.03
448,448,336,1283.66
448,448,352,1255.16
448,448,368,1062.71
448,448,384,1228.64
448,448,400,1064.49
448,448,416,1098.67
448,448,432,1170.03
448,448,448,1248.94
448,448,464,1232.95
448,448,480,1006.84
448,448,496,1221.78
448,448,512,1233.01
448,448,528,1004.14
448,448,544,1221.54
448,448,560,1212.79
448,448,576,1031.86
448,448,592,1240.27
448,448,608,1062.43
448,448,624,1065.68
448,448,640,1254.42
448,448,656,1207.33
448,448,672,1131.22
448,448,688,1069.31
448,448,704,1270.89
448,448,720,1213.73
448,448,736,1016.81
448,448,752,1197.75
448,448,768,1213.51
448,448,784,1200.06
448,448,800,1257.8
448,448,816,1247.33
448,448,832,950.426
448,448,848,1224.19
448,448,864,984.589
448,448,880,995.48
448,448,896,1219.29
448,448,912,1085.74
448,448,928,1230.85
448,448,944,1221.53
